"Hour_Format_HHMMSS","Hour","Minute","Second","Hour_id"
"15:55:19",15,55,19,"155519"
"15:55:20",15,55,20,"155520"
"15:55:21",15,55,21,"155521"
"15:55:22",15,55,22,"155522"
"15:55:23",15,55,23,"155523"
"15:55:24",15,55,24,"155524"
"15:55:25",15,55,25,"155525"
"15:55:26",15,55,26,"155526"
"15:55:27",15,55,27,"155527"
"15:55:28",15,55,28,"155528"
"15:55:29",15,55,29,"155529"
"15:55:30",15,55,30,"155530"
"15:55:31",15,55,31,"155531"
"15:55:32",15,55,32,"155532"
"15:55:33",15,55,33,"155533"
"15:55:34",15,55,34,"155534"
"15:55:35",15,55,35,"155535"
"15:55:36",15,55,36,"155536"
"15:55:37",15,55,37,"155537"
"15:55:38",15,55,38,"155538"
"15:55:39",15,55,39,"155539"
"15:55:40",15,55,40,"155540"
"15:55:41",15,55,41,"155541"
"15:55:42",15,55,42,"155542"
"15:55:43",15,55,43,"155543"
"15:55:44",15,55,44,"155544"
"15:55:45",15,55,45,"155545"
"15:55:46",15,55,46,"155546"
"15:55:47",15,55,47,"155547"
"15:55:48",15,55,48,"155548"
"15:55:49",15,55,49,"155549"
"15:55:50",15,55,50,"155550"
"15:55:51",15,55,51,"155551"
"15:55:52",15,55,52,"155552"
"15:55:53",15,55,53,"155553"
"15:55:54",15,55,54,"155554"
"15:55:55",15,55,55,"155555"
"15:55:56",15,55,56,"155556"
"15:55:57",15,55,57,"155557"
"15:55:58",15,55,58,"155558"
"15:55:59",15,55,59,"155559"
"15:56",15,56,0,"155600"
"15:56:01",15,56,1,"155601"
"15:56:02",15,56,2,"155602"
"15:56:03",15,56,3,"155603"
"15:56:04",15,56,4,"155604"
"15:56:05",15,56,5,"155605"
"15:56:06",15,56,6,"155606"
"15:56:07",15,56,7,"155607"
"15:56:08",15,56,8,"155608"
"15:56:09",15,56,9,"155609"
"15:56:10",15,56,10,"155610"
"15:56:11",15,56,11,"155611"
"15:56:12",15,56,12,"155612"
"15:56:13",15,56,13,"155613"
"15:56:14",15,56,14,"155614"
"15:56:15",15,56,15,"155615"
"15:56:16",15,56,16,"155616"
"15:56:17",15,56,17,"155617"
"15:56:18",15,56,18,"155618"
"15:56:19",15,56,19,"155619"
"15:56:20",15,56,20,"155620"
"15:56:21",15,56,21,"155621"
"15:56:22",15,56,22,"155622"
"15:56:23",15,56,23,"155623"
"15:56:24",15,56,24,"155624"
"15:56:25",15,56,25,"155625"
"15:56:26",15,56,26,"155626"
"15:56:27",15,56,27,"155627"
"15:56:28",15,56,28,"155628"
"15:56:29",15,56,29,"155629"
"15:56:30",15,56,30,"155630"
"15:56:31",15,56,31,"155631"
"15:56:32",15,56,32,"155632"
"15:56:33",15,56,33,"155633"
"15:56:34",15,56,34,"155634"
"15:56:35",15,56,35,"155635"
"15:56:36",15,56,36,"155636"
"15:56:37",15,56,37,"155637"
"15:56:38",15,56,38,"155638"
"15:56:39",15,56,39,"155639"
"15:56:40",15,56,40,"155640"
"15:56:41",15,56,41,"155641"
"15:56:42",15,56,42,"155642"
"15:56:43",15,56,43,"155643"
"15:56:44",15,56,44,"155644"
"15:56:45",15,56,45,"155645"
"15:56:46",15,56,46,"155646"
"15:56:47",15,56,47,"155647"
"15:56:48",15,56,48,"155648"
"15:56:49",15,56,49,"155649"
"15:56:50",15,56,50,"155650"
"15:56:51",15,56,51,"155651"
"15:56:52",15,56,52,"155652"
"15:56:53",15,56,53,"155653"
"15:56:54",15,56,54,"155654"
"15:56:55",15,56,55,"155655"
"15:56:56",15,56,56,"155656"
"15:56:57",15,56,57,"155657"
"15:56:58",15,56,58,"155658"
"15:56:59",15,56,59,"155659"
"15:57",15,57,0,"155700"
"15:57:01",15,57,1,"155701"
"15:57:02",15,57,2,"155702"
"15:57:03",15,57,3,"155703"
"15:57:04",15,57,4,"155704"
"15:57:05",15,57,5,"155705"
"15:57:06",15,57,6,"155706"
"15:57:07",15,57,7,"155707"
"15:57:08",15,57,8,"155708"
"15:57:09",15,57,9,"155709"
"15:57:10",15,57,10,"155710"
"15:57:11",15,57,11,"155711"
"15:57:12",15,57,12,"155712"
"15:57:13",15,57,13,"155713"
"15:57:14",15,57,14,"155714"
"15:57:15",15,57,15,"155715"
"15:57:16",15,57,16,"155716"
"15:57:17",15,57,17,"155717"
"15:57:18",15,57,18,"155718"
"15:57:19",15,57,19,"155719"
"15:57:20",15,57,20,"155720"
"15:57:21",15,57,21,"155721"
"15:57:22",15,57,22,"155722"
"15:57:23",15,57,23,"155723"
"15:57:24",15,57,24,"155724"
"15:57:25",15,57,25,"155725"
"15:57:26",15,57,26,"155726"
"15:57:27",15,57,27,"155727"
"15:57:28",15,57,28,"155728"
"15:57:29",15,57,29,"155729"
"15:57:30",15,57,30,"155730"
"15:57:31",15,57,31,"155731"
"15:57:32",15,57,32,"155732"
"15:57:33",15,57,33,"155733"
"15:57:34",15,57,34,"155734"
"15:57:35",15,57,35,"155735"
"15:57:36",15,57,36,"155736"
"15:57:37",15,57,37,"155737"
"15:57:38",15,57,38,"155738"
"15:57:39",15,57,39,"155739"
"15:57:40",15,57,40,"155740"
"15:57:41",15,57,41,"155741"
"15:57:42",15,57,42,"155742"
"15:57:43",15,57,43,"155743"
"15:57:44",15,57,44,"155744"
"15:57:45",15,57,45,"155745"
"15:57:46",15,57,46,"155746"
"15:57:47",15,57,47,"155747"
"15:57:48",15,57,48,"155748"
"15:57:49",15,57,49,"155749"
"15:57:50",15,57,50,"155750"
"15:57:51",15,57,51,"155751"
"15:57:52",15,57,52,"155752"
"15:57:53",15,57,53,"155753"
"15:57:54",15,57,54,"155754"
"15:57:55",15,57,55,"155755"
"15:57:56",15,57,56,"155756"
"15:57:57",15,57,57,"155757"
"15:57:58",15,57,58,"155758"
"15:57:59",15,57,59,"155759"
"15:58",15,58,0,"155800"
"15:58:01",15,58,1,"155801"
"15:58:02",15,58,2,"155802"
"15:58:03",15,58,3,"155803"
"15:58:04",15,58,4,"155804"
"15:58:05",15,58,5,"155805"
"15:58:06",15,58,6,"155806"
"15:58:07",15,58,7,"155807"
"15:58:08",15,58,8,"155808"
"15:58:09",15,58,9,"155809"
"15:58:10",15,58,10,"155810"
"15:58:11",15,58,11,"155811"
"15:58:12",15,58,12,"155812"
"15:58:13",15,58,13,"155813"
"15:58:14",15,58,14,"155814"
"15:58:15",15,58,15,"155815"
"15:58:16",15,58,16,"155816"
"15:58:17",15,58,17,"155817"
"15:58:18",15,58,18,"155818"
"15:58:19",15,58,19,"155819"
"15:58:20",15,58,20,"155820"
"15:58:21",15,58,21,"155821"
"15:58:22",15,58,22,"155822"
"15:58:23",15,58,23,"155823"
"15:58:24",15,58,24,"155824"
"15:58:25",15,58,25,"155825"
"15:58:26",15,58,26,"155826"
"15:58:27",15,58,27,"155827"
"15:58:28",15,58,28,"155828"
"15:58:29",15,58,29,"155829"
"15:58:30",15,58,30,"155830"
"15:58:31",15,58,31,"155831"
"15:58:32",15,58,32,"155832"
"15:58:33",15,58,33,"155833"
"15:58:34",15,58,34,"155834"
"15:58:35",15,58,35,"155835"
"15:58:36",15,58,36,"155836"
"15:58:37",15,58,37,"155837"
"15:58:38",15,58,38,"155838"
"15:58:39",15,58,39,"155839"
