"OSHA_id","Payment_Date","Departament_id","OSHA_Type_id","numIncidentsLeadingToLostDays","numIncidentsLeadingToRestrictedDays"
561,"20180616",36,18,0,0
562,"20180616",36,19,0,0
563,"20180616",36,19,1,1
564,"20180616",36,5,1,1
565,"20180616",36,5,0,1
566,"20180616",36,6,0,0
567,"20180616",36,6,1,1
568,"20180616",36,7,1,1
569,"20180616",36,7,0,0
570,"20180616",36,34,1,1
571,"20180616",36,17,0,0
572,"20180616",36,17,0,1
573,"20180616",36,46,0,0
574,"20180616",36,8,0,0
575,"20180616",36,8,1,1
576,"20180616",36,8,0,1
577,"20180616",36,9,0,0
578,"20180616",36,9,1,1
579,"20180616",36,9,0,1
580,"20180616",36,36,0,1
581,"20180616",36,36,1,1
582,"20180616",36,10,1,1
583,"20180616",36,10,0,1
584,"20180602",36,18,0,0
585,"20180602",36,19,0,0
586,"20180602",36,5,0,0
587,"20180602",36,5,1,1
588,"20180602",36,6,1,1
589,"20180602",36,7,1,1
590,"20180602",36,15,0,0
591,"20180602",36,16,0,0
592,"20180602",36,44,0,1
593,"20180602",36,17,0,0
594,"20180602",36,45,0,1
595,"20180602",36,36,0,1
596,"20180602",36,36,1,1
597,"20180602",36,36,0,0
598,"20180602",36,10,0,1
599,"20180519",36,18,0,0
600,"20180519",36,19,0,0
601,"20180519",36,5,0,1
602,"20180519",36,6,0,1
603,"20180519",36,6,0,0
604,"20180519",36,7,0,0
605,"20180519",36,7,0,1
606,"20180519",36,15,0,0
607,"20180519",36,16,0,0
608,"20180519",36,44,0,0
609,"20180519",36,32,1,1
610,"20180519",36,33,1,1
611,"20180519",36,17,0,1
612,"20180519",36,45,0,0
613,"20180519",36,46,0,0
614,"20180519",36,46,0,1
615,"20180519",36,36,0,1
616,"20180519",36,36,1,1
617,"20180519",36,37,1,1
618,"20180505",36,5,0,0
619,"20180505",36,6,1,1
620,"20180505",36,6,0,0
621,"20180505",36,7,0,0
622,"20180505",36,7,1,1
623,"20180505",36,31,0,0
624,"20180505",36,34,1,1
625,"20180505",36,17,0,1
626,"20180505",36,17,1,1
627,"20180505",36,8,0,1
628,"20180505",36,9,0,1
629,"20180505",36,36,0,1
630,"20180505",36,36,1,1
631,"20180505",36,36,0,0
632,"20180505",36,10,1,1
633,"20180421",36,18,0,0
634,"20180421",36,19,0,0
635,"20180421",36,53,1,1
636,"20180421",36,54,1,1
637,"20180421",36,5,0,1
638,"20180421",36,38,1,1
639,"20180421",36,39,1,1
640,"20180421",36,6,0,1
641,"20180421",36,7,0,1
642,"20180421",36,40,0,0
643,"20180421",36,11,1,1
644,"20180421",36,32,1,1
645,"20180421",36,33,1,1
646,"20180421",36,8,1,1
647,"20180421",36,9,1,1
648,"20180421",36,36,0,1
649,"20180421",36,36,1,1
650,"20180421",36,10,1,1
651,"20180407",36,1,0,0
652,"20180407",36,2,0,0
653,"20180407",36,18,0,0
654,"20180407",36,19,0,0
655,"20180407",36,5,0,0
656,"20180407",36,5,0,1
657,"20180407",36,38,1,1
658,"20180407",36,39,1,1
659,"20180407",36,6,0,1
660,"20180407",36,6,1,1
661,"20180407",36,7,1,1
662,"20180407",36,7,0,1
663,"20180407",36,15,0,0
664,"20180407",36,16,0,0
665,"20180407",36,17,0,0
666,"20180407",36,26,1,1
667,"20180407",36,26,0,0
668,"20180407",36,8,0,1
669,"20180407",36,8,1,1
670,"20180407",36,8,0,0
671,"20180407",36,9,1,1
672,"20180407",36,9,0,1
673,"20180407",36,9,0,0
674,"20180407",36,36,0,1
675,"20180407",36,36,0,0
676,"20180407",36,36,1,1
677,"20180407",36,10,0,1
678,"20180324",36,18,0,0
679,"20180324",36,19,0,0
680,"20180324",36,21,0,0
681,"20180324",36,5,1,1
682,"20180324",36,11,1,1
683,"20180324",36,15,0,0
684,"20180324",36,42,0,0
685,"20180324",36,16,0,0
686,"20180324",36,34,0,0
687,"20180324",36,32,1,1
688,"20180324",36,33,1,1
689,"20180324",36,17,0,1
690,"20180324",36,8,0,1
691,"20180324",36,8,1,1
692,"20180324",36,9,0,1
693,"20180324",36,9,1,1
694,"20180324",36,36,1,1
695,"20180324",36,36,0,1
696,"20180324",36,36,0,0
697,"20180310",36,3,1,1
698,"20180310",36,4,1,1
699,"20180310",36,6,1,1
700,"20180310",36,6,0,0
701,"20180310",36,7,0,0
702,"20180310",36,7,1,1
703,"20180310",36,40,0,0
704,"20180310",36,31,1,1
705,"20180310",36,32,1,1
706,"20180310",36,33,1,1
707,"20180310",36,17,1,1
708,"20180310",36,17,0,0
709,"20180310",36,55,0,0
710,"20180310",36,8,1,1
711,"20180310",36,9,1,1
712,"20180310",36,36,0,0
713,"20180310",36,36,0,1
714,"20180310",36,36,1,1
715,"20180310",36,37,0,1
716,"20180224",36,1,0,0
717,"20180224",36,2,0,0
718,"20180224",36,18,0,0
719,"20180224",36,19,0,0
720,"20180224",36,5,1,1
721,"20180224",36,5,0,0
722,"20180224",36,11,0,1
723,"20180224",36,41,0,1
724,"20180224",36,15,0,0
725,"20180224",36,16,0,0
726,"20180224",36,32,0,0
727,"20180224",36,32,1,1
728,"20180224",36,33,0,0
729,"20180224",36,33,1,1
730,"20180224",36,17,1,1
731,"20180224",36,8,0,1
732,"20180224",36,9,0,1
733,"20180224",36,36,0,1
734,"20180224",36,36,1,1
735,"20180224",36,10,0,1
736,"20180210",36,1,0,0
737,"20180210",36,2,0,0
738,"20180210",36,5,1,1
739,"20180210",36,6,1,1
740,"20180210",36,7,1,1
741,"20180210",36,40,1,1
742,"20180210",36,11,1,1
743,"20180210",36,32,1,1
744,"20180210",36,33,1,1
745,"20180210",36,17,0,1
746,"20180210",36,17,1,1
747,"20180210",36,55,0,0
748,"20180210",36,26,0,0
749,"20180210",36,46,1,1
750,"20180210",36,8,0,0
751,"20180210",36,9,0,0
752,"20180210",36,36,1,1
753,"20180210",36,36,0,1
754,"20180210",36,36,0,0
755,"20180127",36,1,1,1
756,"20180127",36,2,1,1
757,"20180127",36,18,0,0
758,"20180127",36,19,0,0
759,"20180127",36,20,0,0
760,"20180127",36,20,1,1
761,"20180127",36,5,0,1
762,"20180127",36,5,1,1
763,"20180127",36,5,0,0
764,"20180127",36,28,1,1
765,"20180127",36,40,0,0
766,"20180127",36,17,0,1
767,"20180127",36,8,0,0
768,"20180127",36,9,0,0
769,"20180127",36,36,0,1
770,"20180127",36,36,0,0
771,"20180127",36,36,1,1
772,"20180127",36,10,0,1
773,"20180127",36,10,1,1
774,"20180113",36,27,0,0
775,"20180113",36,18,0,0
776,"20180113",36,19,0,0
777,"20180113",36,5,0,1
778,"20180113",36,6,1,1
779,"20180113",36,6,0,1
780,"20180113",36,7,0,1
781,"20180113",36,7,1,1
782,"20180113",36,56,0,1
783,"20180113",36,11,1,1
784,"20180113",36,11,0,1
785,"20180113",36,42,0,1
786,"20180113",36,32,0,0
787,"20180113",36,32,1,1
788,"20180113",36,33,1,1
789,"20180113",36,33,0,0
790,"20180113",36,17,1,1
791,"20180113",36,17,0,1
792,"20180113",36,17,0,0
793,"20180113",36,8,0,0
794,"20180113",36,9,0,0
795,"20180113",36,36,1,1
796,"20180113",36,36,0,0
797,"20180113",36,36,0,1
798,"20171230",36,57,0,0
799,"20171230",36,11,1,1
800,"20171230",36,17,0,0
801,"20171230",36,26,0,1
802,"20171230",36,8,1,1
803,"20171230",36,9,1,1
804,"20171230",36,58,1,1
805,"20171216",36,5,0,1
806,"20171216",36,6,0,0
807,"20171216",36,7,0,0
808,"20171216",36,32,0,0
809,"20171216",36,32,1,1
810,"20171216",36,33,1,1
811,"20171216",36,33,0,0
812,"20171216",36,17,1,1
813,"20171216",36,17,0,0
814,"20171216",36,8,1,1
815,"20171216",36,9,1,1
816,"20171216",36,36,1,1
817,"20171216",36,36,0,0
818,"20171216",36,36,0,1
819,"20171202",36,18,0,0
820,"20171202",36,19,0,0
821,"20171202",36,5,0,1
822,"20171202",36,5,1,1
823,"20171202",36,11,0,0
824,"20171202",36,15,0,0
825,"20171202",36,16,0,0
826,"20171202",36,32,0,1
827,"20171202",36,32,1,1
828,"20171202",36,33,0,1
829,"20171202",36,33,1,1
830,"20171202",36,17,0,0
831,"20171202",36,8,1,1
832,"20171202",36,9,1,1
833,"20171202",36,36,0,1
834,"20171202",36,36,1,1
835,"20171202",36,36,0,0
836,"20171118",36,27,0,1
837,"20171118",36,1,0,0
838,"20171118",36,1,0,1
839,"20171118",36,1,1,1
840,"20171118",36,2,0,1
841,"20171118",36,2,0,0
842,"20171118",36,2,1,1
843,"20171118",36,18,0,0
844,"20171118",36,19,0,0
845,"20171118",36,5,0,0
846,"20171118",36,5,0,1
847,"20171118",36,6,1,1
848,"20171118",36,7,1,1
849,"20171118",36,15,1,1
850,"20171118",36,16,1,1
851,"20171118",36,32,0,1
852,"20171118",36,33,0,1
853,"20171118",36,17,1,1
854,"20171118",36,17,0,1
855,"20171118",36,26,0,0
856,"20171118",36,36,1,1
857,"20171118",36,58,1,1
858,"20171118",36,37,1,1
859,"20171104",36,27,0,0
860,"20171104",36,18,0,0
861,"20171104",36,19,0,0
862,"20171104",36,53,0,0
863,"20171104",36,54,0,0
864,"20171104",36,21,0,0
865,"20171104",36,15,0,0
866,"20171104",36,16,0,0
867,"20171104",36,32,0,0
868,"20171104",36,32,0,1
869,"20171104",36,33,0,0
870,"20171104",36,33,0,1
871,"20171104",36,17,0,1
872,"20171104",36,17,0,0
873,"20171104",36,8,1,1
874,"20171104",36,9,1,1
875,"20171104",36,36,0,0
876,"20171104",36,36,1,1
877,"20171104",36,36,0,1
878,"20171021",36,18,0,0
879,"20171021",36,19,0,0
880,"20171021",36,5,0,1
881,"20171021",36,5,0,0
882,"20171021",36,5,1,1
883,"20171021",36,6,0,0
884,"20171021",36,7,0,0
885,"20171021",36,11,1,1
886,"20171021",36,59,1,1
887,"20171021",36,48,0,0
888,"20171021",36,35,0,0
889,"20171021",36,17,0,0
890,"20171021",36,17,1,1
891,"20171021",36,49,0,0
892,"20171021",36,8,1,1
893,"20171021",36,9,1,1
894,"20171021",36,36,0,1
895,"20171021",36,36,0,0
896,"20171021",36,58,0,1
897,"20171007",36,20,0,0
898,"20171007",36,5,1,1
899,"20171007",36,6,0,0
