"Amount_Hours","Amount_Dollars","Payment_Date","Departament_id","Worked_Hours_Type_id"
26,316.33,"20131221",5,2
46.3,608.02,"20181229",5,2
-1.5,-41.48,"20161203",5,2
48,601.11,"20171230",5,2
1,11.83,"20161231",5,2
11.5,180.82,"20151205",5,2
15.5,302.55,"20141206",5,1
43,523.31,"20141206",5,2
2,27,"20131207",5,1
0.5,6.75,"20140201",5,1
24,291.06,"20140201",5,2
63,784.43,"20180210",5,2
16.509999999999998,207.38,"20170211",5,2
5,92.18,"20160213",5,1
0,0,"20160213",5,2
11.5,252.19,"20150214",5,1
2.4,30.32,"20150214",5,2
2,27,"20140215",5,1
30.01,391.59,"20190223",5,2
45.3,559.85,"20180224",5,2
21.509999999999998,273.54,"20170225",5,2
7,129.05,"20160227",5,1
26,323.99,"20160227",5,2
15.8,364.75,"20150228",5,1
15.25,187.12,"20150228",5,2
3,45.45,"20190209",5,1
10,134.46,"20190209",5,2
13.4,185.13,"20140301",5,1
29.5,354.58,"20140301",5,2
31.5,386.92,"20180310",5,2
14.02,170.1,"20160312",5,2
12.24,259.82,"20150314",5,1
1.76,19.69,"20150314",5,2
10,143.43,"20140315",5,1
11,136.43,"20140315",5,2
41,512.7,"20190323",5,2
51.51,636.57,"20180324",5,2
24.31,296.14,"20170325",5,2
23.5,286.57,"20160326",5,2
29.45,479.19,"20150328",5,1
1,13.07,"20150328",5,2
2.75,37.13,"20140329",5,1
23,282.02,"20140329",5,2
26.3,330,"20190309",5,2
1.5,24.83,"20150411",5,1
0.5,5.47,"20140412",5,2
30.51,391.31,"20190420",5,2
32,394.83,"20180421",5,2
23.51,289.09,"20170422",5,2
23,279.53000000000003,"20160423",5,2
36.75,433.26,"20140426",5,2
20,245,"20190406",5,2
38.51,476.16,"20180407",5,2
10.51,152.12,"20170408",5,2
4.3,122.29,"20160409",5,1
6.21,87.08,"20160409",5,2
3,45.73,"20140510",5,2
15.51,203.52,"20190518",5,2
54.02,667.4,"20180519",5,2
11,149.98,"20170520",5,2
15,195.96,"20140524",5,2
33.51,420.14,"20190504",5,2
1,35.76,"20180505",5,1
50.5,622.79,"20180505",5,2
36,465.69,"20170506",5,2
2,25.9,"20160507",5,2
23,292.16,"20190601",5,2
1.5,54.72,"20190615",5,1
12,147,"20190615",5,2
38,473.04,"20180616",5,2
8.049999999999999,114.62,"20170617",5,2
2.5,66.78,"20160618",5,1
27.52,334.24,"20160618",5,2
50.9,635.43,"20180602",5,2
18.5,240.14,"20150620",5,2
35,438.23,"20140621",5,2
25,325.46,"20190629",5,2
25.529999999999998,322.06,"20170603",5,2
80.01,993.81,"20180630",5,2
30.810000000000002,391.73999999999995,"20160604",5,2
33.5,456.28,"20170701",5,2
20.41,259.39,"20190713",5,2
19.02,222.77,"20180714",5,2
10.01,177.19,"20170715",5,2
2,23.66,"20160716",5,2
3,39,"20150718",5,2
11,318.63,"20140719",5,1
11.8,130.27,"20140719",5,2
18.020000000000003,227.11,"20160702",5,2
35.41,467.23,"20190727",5,2
44.81,548.98,"20180728",5,2
49.53,682.58,"20170729",5,2
23.01,282.86,"20160730",5,2
12.01,148.99,"20150704",5,2
14,161.9,"20140705",5,2
23,282.09,"20150801",5,2
25.92,332.8,"20190810",5,2
12,144.06,"20180811",5,2
7.51,126.6,"20170812",5,2
8.51,102.31,"20160813",5,2
0.3,4.02,"20150815",5,2
4,50.43,"20140816",5,2
34.5,970.6499999999999,"20140802",5,1
33,385.99,"20140802",5,2
38.51,482.23,"20180825",5,2
49.31,675.52,"20170826",5,2
42.01,525.1,"20160827",5,2
22.25,271.53,"20150829",5,2
31.75,383.35,"20140830",5,2
29,355.07,"20130831",5,2
1.5,17.75,"20160910",5,2
0.5,5.63,"20150912",5,2
3.5,39.89,"20140913",5,2
0.5,5.39,"20130914",5,2
40.51,513.86,"20180922",5,2
0.5,17.88,"20170923",5,1
72.93,938.57,"20170923",5,2
19.01,239.92,"20160924",5,2
29,353.99,"20150926",5,2
22.5,278.3,"20140927",5,2
28,337.55,"20130928",5,2
12.51,162.77,"20180908",5,2
26.1,367.02000000000004,"20170909",5,2
12.1,351.75,"20140118",7,1
2.8,53.73,"20140104",7,2
0.9,24.23,"20141011",7,1
1,17.95,"20141108",7,2
1.6,28.72,"20141206",7,2
4.4,127.91,"20131207",7,1
2.7,52.33,"20140201",7,2
1.8,52.33,"20140215",7,1
5.7,165.7,"20140301",7,1
0.1,2.64,"20140315",7,1
8.3,219.92,"20140329",7,1
1.8,52.33,"20140412",7,1
0.4,11.63,"20140426",7,1
1.1,31.98,"20140510",7,1
0.6,16.64,"20140524",7,1
3,83.74,"20140621",7,1
2.5,44,"20140621",7,2
0.5,13.47,"20140607",7,1
1.2,32.31,"20140719",7,1
0.7,19.55,"20140705",7,1
0.8,21.54,"20140816",7,1
0.7,18.85,"20140830",7,1
0.5,8.98,"20140913",7,2
0.2,5.39,"20140927",7,1
3.5,136.95,"20190112",9,1
30.35,946.14,"20180113",9,1
6,101.95,"20180113",9,2
21.3,643.2600000000001,"20170114",9,1
-7.5,-133.82999999999998,"20170114",9,2
35.8,982.1800000000001,"20160116",9,1
13,419.34,"20150117",9,1
0.5,8.16,"20160102",9,2
-0.5,-14.86,"20190126",9,1
12.4,367.73,"20180127",9,1
1.1,19.99,"20180127",9,2
33.4,1010.16,"20170128",9,1
-0.1,-3.48,"20170128",9,2
35.7,1027.12,"20160130",9,1
-5.5,-187.58999999999997,"20150131",9,1
1.5,30.9,"20150131",9,2
16.900000000000002,503.8,"20151010",9,1
7.5,242.42,"20141011",9,1
4.6,92.41,"20181020",9,1
21.5,668.57,"20171021",9,1
14.9,435.01000000000005,"20161022",9,1
0.05,1.23,"20161022",9,2
25.5,727.0899999999999,"20151024",9,1
0.5,13.31,"20141025",9,1
2.6,72.12,"20181006",9,1
27.6,798.54,"20171007",9,1
11.2,322.06,"20161008",9,1
0.5,12.91,"20181117",9,1
40,1159.7,"20171118",9,1
4.6,136.74,"20161119",9,1
19.1,540.75,"20151121",9,1
3,90.88,"20181103",9,1
19.2,503.14,"20171104",9,1
3.1,79.58000000000001,"20161105",9,1
6.5,189.25,"20151107",9,1
0.5,13.31,"20141108",9,1
0.05,0.96,"20141108",9,2
0.1,4.07,"20181201",9,1
